timestamp,x,y,z,qx,qy,qz,qw,relative_time
1743161059.4615154,-14.041175842285156,27.249618530273438,9.950549125671387,0.006906580357877898,0.02427929267729177,-0.5292492510332731,0.848090792220914,45.99945545196533
1743161059.6616583,-13.888166427612305,27.307497024536133,9.951562881469727,0.004996562891616123,0.020024819884119065,-0.5313963590103878,0.8468718421417062,46.19959831237793
1743161059.8615944,-13.692742347717285,27.373226165771484,9.953200340270996,0.002882275455690237,0.015508613844604694,-0.5339943539728721,0.8453408367961237,46.399534463882446
1743161060.0616086,-13.495434761047363,27.432926177978516,9.954726219177246,0.0010628137861766573,0.011868658566333524,-0.5366051405038794,0.8437493296495039,46.59954857826233
1743161060.2616284,-13.297115325927734,27.48623275756836,9.957075119018555,-0.0006653459556611829,0.008949540179599669,-0.539305942166594,0.8420620753997794,46.79956841468811
1743161060.4615607,-13.096638679504395,27.53750991821289,9.960526466369629,-0.0023127334025975447,0.0065432848957899924,-0.5420684784256647,0.8403056687083605,46.99950075149536
1743161060.6617403,-12.893725395202637,27.591073989868164,9.964925765991211,-0.0032818762707081065,0.004470301577199941,-0.5448966162544427,0.83848492485269,47.19968032836914
1743161060.8617709,-12.691608428955078,27.647010803222656,9.970599174499512,-0.0036373707997700913,0.0031192293391373014,-0.5477339210227719,0.836638913961337,47.39971089363098
1743161061.06177,-12.492706298828125,27.704774856567383,9.97596263885498,-0.004081453806180738,0.0026011858575796243,-0.5505553891127729,0.8347847160446609,47.59970998764038
1743161061.2616456,-12.289605140686035,27.76511573791504,9.98150634765625,-0.004221847757384684,0.0024331422566635148,-0.5529553149606803,0.8331966227927704,47.799585580825806
1743161061.4616961,-12.109837532043457,27.82431411743164,9.985815048217773,-0.0040571387789028095,0.002273768970421443,-0.556125211047321,0.8310855398344204,47.99963617324829
1743161061.6617727,-11.920838356018066,27.886579513549805,10.011713981628418,-0.0036189470910810598,0.0025823222205797456,-0.5589754654348552,0.8291722941829804,48.1997127532959
1743161061.8618114,-11.729170799255371,27.953018188476562,10.02635669708252,-0.0035064409769060066,0.002849028506932477,-0.5617591699485905,0.8272885091786497,48.39975142478943
1743161062.0618055,-11.53840160369873,28.023561477661133,10.022283554077148,-0.003149584618960544,0.003581821582704955,-0.5644791378906654,0.8254336474491095,48.59974551200867
1743161062.2617924,-11.34951114654541,28.094934463500977,10.007845878601074,-0.002701717451170901,0.004505930357965984,-0.567135158526837,0.8236080040222995,48.79973244667053
1743161062.4617178,-11.161540031433105,28.1634578704834,9.990156173706055,-0.0025531982955094,0.005305101365682031,-0.5698085858114437,0.8217564402836552,48.99965786933899
1743161062.6617463,-10.972143173217773,28.229442596435547,9.973581314086914,-0.0025438056398281693,0.005551043208630655,-0.5725506808489866,0.8198465769168083,49.19968628883362
1743161062.8617344,-10.773630142211914,28.295093536376953,9.960786819458008,-0.0026331269948961507,0.005442781454968582,-0.5754855977184671,0.8177895789018099,49.39967441558838
1743161063.0618172,-10.581212043762207,28.355960845947266,9.950149536132812,-0.0028265581451395014,0.00507275369237557,-0.5783137144738209,0.8157938624045463,49.59975719451904
1743161063.261694,-10.38619327545166,28.415081024169922,9.943768501281738,-0.002747601210492342,0.004661138432513131,-0.5811125180960353,0.8138052897981053,49.79963397979736
1743161063.461708,-10.189629554748535,28.47087287902832,9.940170288085938,-0.0029976122411148223,0.004194441234073032,-0.5838320961797613,0.8118581791538868,49.999648094177246
1743161063.6616976,-9.989981651306152,28.52532196044922,9.939361572265625,-0.0033763472637577457,0.0034955007982246556,-0.5865123407171146,0.8099257040028138,50.19963765144348
1743161063.8616924,-9.786966323852539,28.58254051208496,9.939529418945312,-0.00341331698005377,0.0028503843265973213,-0.589291503907923,0.8079083029519915,50.39963245391846
1743161064.061715,-9.58566951751709,28.63995361328125,9.940805435180664,-0.0031622160376910628,0.0028065547939709525,-0.5920680645308357,0.8058769829044483,50.59965491294861
1743161064.2616663,-9.386666297912598,28.69618797302246,9.94286060333252,-0.0030472975669408094,0.002932171320253384,-0.5947979896658712,0.8038640599562801,50.79960632324219
1743161064.4617348,-9.186108589172363,28.751047134399414,9.946030616760254,-0.0032751325897307153,0.00315615775748985,-0.5975826003368496,0.8017945127171375,50.999674797058105
1743161064.661694,-8.985615730285645,28.804651260375977,9.95031452178955,-0.003161928572723569,0.0029210641696700164,-0.6003720578954067,0.7997092447035004,51.199634075164795
1743161064.8616827,-8.786789894104004,28.85881805419922,9.954086303710938,-0.0031162753862979844,0.002886046312412226,-0.6031291256008833,0.7976322585455956,51.399622678756714
1743161065.0616605,-8.59106731414795,28.9163875579834,9.959153175354004,-0.003031198772464025,0.0034350537026853426,-0.60590055484499,0.7955272552701433,51.59960055351257
